CLI,UTSOU,CPACK,CPRO,ETA,DDSOU,DFSOU
43574051,010104    ,000033,   ,VA,2024-01-03,
43574646,000623    ,      ,222,VA,2024-01-04,
43574720,010123    ,      ,201,VA,2024-01-04,
43574795,000459    ,      ,222,VA,2024-01-04,2025-03-10
43575092,000464    ,      ,201,VA,2024-01-04,
43575241,000464    ,      ,201,VA,2024-01-04,
43575315,000584    ,000077,201,VA,2024-01-04,
43575464,000441    ,      ,222,VA,2024-01-04,2024-12-31
43575315,000584    ,      ,665,VA,2024-01-04,2024-01-04
43575464,000441    ,      ,201,VA,2024-01-04,2024-12-19
43575538,000601    ,000011,222,VA,2024-01-04,
43575464,000441    ,      ,490,VA,2024-01-04,2024-11-13
43575389,000464    ,      ,201,VA,2024-01-04,
43575612,010249    ,      ,222,VA,2024-01-04,
43575464,000441    ,      ,653,VA,2024-01-04,2024-11-13
43575464,000441    ,      ,643,VA,2024-01-04,2024-11-13
43575315,000584    ,000077,665,VA,2024-01-04,2028-12-31
43570781,000677    ,100002,   ,VA,2024-01-04,
43575687,000464    ,      ,201,VA,2024-01-04,
43575315,000584    ,000077,210,VA,2024-01-04,
43575315,000584    ,000077,   ,VA,2024-01-04,
43575835,000475    ,000077,201,VA,2024-01-04,
43575761,010109    ,000022,222,VA,2024-01-04,
43575761,010109    ,000022,201,VA,2024-01-04,
43575761,010109    ,000022,650,VA,2024-01-04,2027-12-31
43575761,010109    ,000022,640,VA,2024-01-04,2025-01-04
43575761,010109    ,000022,210,VA,2024-01-04,
43575761,010109    ,000022,613,VA,2024-01-04,2025-01-04
43575761,010109    ,000022,213,VA,2024-01-04,
43575761,010109    ,000022,   ,VA,2024-01-04,
43570781,000677    ,100002,654,VA,2024-01-04,2027-12-31
43570781,000677    ,100002,644,VA,2024-01-04,2025-01-04
43570781,000677    ,100002,212,VA,2024-01-04,
43575464,000441    ,      ,613,VA,2024-01-04,2025-01-04
43575464,000441    ,      ,210,VA,2024-01-04,2024-11-13
43575464,000441    ,      ,213,VA,2024-01-04,2024-11-13
43575464,000441    ,000011,   ,VA,2024-01-04,2024-11-13
43575910,000527    ,      ,222,VA,2024-01-04,
43575984,000609    ,      ,222,VA,2024-01-04,
43575910,000527    ,      ,201,VA,2024-01-04,
43575910,000527    ,      ,490,VA,2024-01-04,2026-02-05
43576058,000384    ,000077,201,VA,2024-01-04,
43575910,000527    ,      ,650,VA,2024-01-04,2025-02-12
