CLI,SEXT,DNA,AGE,TCLI,GES,DOU,UTIC,age,client_seniority_days,age_group,total_products,active_products,active_products_ratio,avg_product_duration,std_product_duration,max_product_duration,unique_packs,total_accounts,closed_accounts,closed_accounts_ratio,unique_account_types,Segment Client,Actif/Inactif,District
43572416, ,,1010,2,102,2024-01-03,010092    ,0.0,562,,5.0,6.0,1.0,678.6666666666666,675.5237474236811,1454.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43572490,M,1990-03-30,1010,1,102,2024-01-03,010092    ,35.30184804928131,562,35-45,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,ADULTES CLASSE MOYENNE,ACTIF,SIEGE
43572565,M,1988-09-20,1818,1,181,2024-01-03,000371    ,36.824093086926766,562,35-45,1.0,1.0,1.0,102.0,0.0,102.0,1.0,1.0,1.0,1.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43572639,F,1995-04-07,404,1,42,2024-01-03,000635    ,30.28062970568104,562,25-35,8.0,9.0,1.0,764.6666666666666,583.988298969537,1435.0,2.0,8.0,0.0,0.0,3.0,ADULTES HAUTE GAMME,ACTIF,SIEGE
43572713,M,1999-03-24,3333,1,333,2024-01-03,010148    ,26.31895961670089,562,25-35,8.0,9.0,1.0,-1337.2,4189.161395792718,1458.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43572713,M,1999-03-24,3333,1,333,2024-01-03,010148    ,26.31895961670089,562,25-35,8.0,9.0,1.0,-1337.2,4189.161395792718,1458.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,District Grand Centre
43572862,M,1977-12-04,1919,1,193,2024-01-03,000539    ,47.619438740588635,562,45-55,10.0,11.0,1.0,653.3333333333334,627.165581538613,1461.0,2.0,8.0,0.0,0.0,3.0,ADULTES CLASSE MOYENNE,ACTIF,SIEGE
43572936,F,1983-07-14,1717,1,174,2024-01-03,010113    ,42.012320328542096,562,35-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43573011,F,2060-07-06,909,1,91,2024-01-03,000387    ,-34.9678302532512,562,,3.0,4.0,1.0,1824.0,0.0,1824.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43573085,M,2006-06-30,2323,1,231,2024-01-03,000534    ,19.04996577686516,562,<25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES CLASSE MOYENNE,INACTIF,SIEGE
